by,descendants,id,kids,score,text,time,title,type,url
amadeuspagel,73,30179355,"[30182106, 30181891, 30181770, 30180899, 30180901, 30181799, 30181926, 30182744, 30182908, 30182013, 30181853, 30183557, 30181506, 30181837, 30181642, 30182941, 30181516, 30180429, 30180940, 30180529, 30180360, 30182701, 30180902, 30180531, 30181402, 30179925]",107,,1643817644,"Show HN: Coffeehouse, one-on-one voicechat with random HN users",story,https://coffeehouse.chat/hn
chikeichan,7,30180399,"[30183403, 30181430, 30182922, 30183582, 30181981, 30182771]",53,"Bob Extension just added ability to resolve Handshake domain with webtorrent.<p>Any Handshake TLDs can update its TXT record with a magnet link pointing to a folder that contains a index.html page - Bob Extension will download and show the content using webtorrent when users go to the TLDs (e.g. federalistpapers&#x2F;)<p><a href=""https:&#x2F;&#x2F;github.com&#x2F;kyokan&#x2F;bob-extension&#x2F;pull&#x2F;18"" rel=""nofollow"">https:&#x2F;&#x2F;github.com&#x2F;kyokan&#x2F;bob-extension&#x2F;pull&#x2F;18</a>",1643821686,Show HN: Federalist and Bob – uncensorable website with webtorrent and Handshake,story,
statico,5,30181167,"[30183617, 30181195, 30183085]",18,"For example, paste this into Slack or Discord or whatever: <a href=""https:&#x2F;&#x2F;news.ycombinator1.com&#x2F;item?id=30179549"" rel=""nofollow"">https:&#x2F;&#x2F;news.ycombinator1.com&#x2F;item?id=30179549</a><p>It works with comments, too: <a href=""https:&#x2F;&#x2F;news.ycombinator1.com&#x2F;item?id=30180253"" rel=""nofollow"">https:&#x2F;&#x2F;news.ycombinator1.com&#x2F;item?id=30180253</a><p>Hastily-developed source: <a href=""https:&#x2F;&#x2F;github.com&#x2F;statico&#x2F;ycombinator1.com"" rel=""nofollow"">https:&#x2F;&#x2F;github.com&#x2F;statico&#x2F;ycombinator1.com</a>",1643824378,Show HN: Add a “1” to your Hacker News URL to get fancy social previews,story,
danieltait,67,30175956,"[30182263, 30179467, 30182428, 30176919, 30182569, 30177171, 30182737, 30176892, 30182503, 30182214, 30176866, 30182287, 30176905, 30176935, 30177132, 30177214, 30176933, 30183347, 30179178, 30177343, 30178934, 30176114, 30177003, 30177168, 30177001, 30176744, 30176074, 30182535, 30179859, 30177743, 30176562, 30176720, 30176621, 30176886, 30177358, 30177374, 30177154, 30177201, 30180817]",81,,1643798773,Show HN: A daily math puzzle inspired by Wordle,story,https://www.mathler.com/
jstrafy,108,30175863,"[30178998, 30176965, 30178180, 30176467, 30176299, 30176756, 30176346, 30181095, 30181575, 30180973, 30179989, 30183197, 30176330, 30176784, 30180859, 30178470, 30180588, 30176205, 30176252, 30179470, 30179216, 30179747, 30180207, 30176437, 30176757, 30176722, 30178311, 30176340, 30180309, 30176137, 30176634, 30176224, 30176402, 30176788, 30179090, 30176620, 30176341, 30176360, 30179895, 30177452, 30176530, 30176476, 30183061]",61,"Hey there,<p>First time posting on Hacker News in about 2 years! The reason I’m posting is that I thought I’d write about the product I’ve been building, in hopes it resonates with people.<p>Why build yet another social app? Because I deleted almost all social media around 3&#x2F;4 years ago as it was just net negative on my life. There was very little that was truly interesting, I didn’t care about looking good to other people and because of the ‘media’ and ads, the apps were all designed to make me spend too much time for what I was getting. I hated it and what it meant for people’s behaviour, including mine and my friends.<p>I also noticed that the vast majority of my friends were pretty much passive on the services, even if they had an account. Turns out that most people felt uncomfortable sharing to people they didn’t know too well, which inevitably happens as you meet new people, add them, and often don’t develop the relationship much further. I had a sense that there could be a better way.<p>In that, I remembered the days of Path and Google+ which had the model of focusing on particular people in your network, both through the feed and in how you shared. Path in particular was a ‘real life’ social network, something that despite being brought to market in 2010 or whatever, seemed to be more relevant today.<p>So problem found, problem solved. I took the journey of learning how to code when COVID hit (I was working in Architecture and Design and was about to start my masters degree at Harvard GSD in Boston), then one thing led to another, my prototype garnered some investment interest, and Circles was born.<p>The idea is very much like the name suggests, it’s about adding your contacts (synced through your phonebook) into Circles that define what the relationship is. This means that you only see things from people you have tagged (rather than everyone) and when you share, you choose exactly who it goes to (rather than all your friends or followers).<p>It also takes cues from other privacy focused social products. Posts are encrypted, reactions and comments are only shown to people who are contacts with eachother, and user profiles only show that which has been explicitly shared to the user viewing the profile.<p>As they were mentioned briefly before, it’s essentially a crossover between Path and Google+ with a wrap around layer of privacy, so the potential revenue has to eventually come through paid features rather than ads.<p>We’re in the app store and google play store (yay, cross-platform JS frameworks), the invite code is ‘FULLCIRCLE’ and download links are below:<p>Landing: <a href=""https:&#x2F;&#x2F;oncircles.com"" rel=""nofollow"">https:&#x2F;&#x2F;oncircles.com</a><p>iOS: <a href=""https:&#x2F;&#x2F;apps.apple.com&#x2F;gb&#x2F;app&#x2F;circles-share-more-with-less&#x2F;id1532621483"" rel=""nofollow"">https:&#x2F;&#x2F;apps.apple.com&#x2F;gb&#x2F;app&#x2F;circles-share-more-with-less&#x2F;i...</a><p>Android: <a href=""https:&#x2F;&#x2F;play.google.com&#x2F;store&#x2F;apps&#x2F;details?id=com.oncircles"" rel=""nofollow"">https:&#x2F;&#x2F;play.google.com&#x2F;store&#x2F;apps&#x2F;details?id=com.oncircles</a><p>I would love to hear your feedback and suggestions on the idea. Hit or miss?<p>PS: If you want to chat about the idea or are interested in working together I’d love to chat. Always interesting to meet people on HN and we have the funds, ideas and drive to continue making cool things that can solve big problems. Send me an email at james@oncircles.com<p>Thanks!",1643797955,Show HN: What do you think of my new social app?,story,https://oncircles.com
kavehkhorram,0,30183465,,2,"Hey HN: Kaveh here, the founder of www.usage.ai<p>We help companies drive down AWS EC2 spend. Why? Because the way it&#x27;s done now is a pain. DevOps and Software Engineers end up spending time managing costs rather than focusing on business problems.<p>Previous to founding Usage, I worked on high-performance computing research at JP Morgan Chase and as a software engineer at a number of smaller startups.<p>Here&#x27;s how it works: We are typically brought in by a DevOps manager to cut AWS EC2 costs. The app is entirely self-service and the savings are generated automatically, typically we do this live on a call. On average, we reduce AWS EC2 spend by 50% for 5 minutes of work.<p>To reduce by 50%+, we don&#x27;t touch the instances, require any code change, or change the performance of your instances. We buy Reserved Instances on your behalf (a billing layer change only) and bundle them with guaranteed buyback. So you get the steep 57% savings of 3-year no-upfront RIs with none of the commitment (you can sell them back to us anytime after 30 days).<p>We make money off of a 20% Savings Fee. Happy to chat directly kaveh@usage.ai<p>Have you experienced any issues with managing your company or organization&#x27;s AWS expenses? We&#x27;d love to hear your feedback and ideas!",1643833335,Show HN: I built a service to help companies reduce AWS spend by 50%,story,
pbarondadditude,124,30178571,"[30179646, 30179669, 30180246, 30181903, 30180053, 30181198, 30179598, 30181455, 30182279, 30181140, 30179745, 30180536, 30180149, 30180580, 30180366, 30179522, 30180218, 30180385, 30180909, 30179606, 30179480, 30179912, 30180165, 30179814, 30179686, 30178698, 30179705, 30179665, 30180050, 30179898]",103,"Hey there,<p>First time posting on HN. We&#x27;re looking for feedback from parents.<p>We&#x27;re 2 dads who started working on Dadditude in the midst of covid lockdowns last year.<p>Being a dad can be a long, emotional, draining, and lonely journey. Through our research we learned that dads want to improve their parenting but are too shy to ask for help, and are tired of reading content online written for mums. We set out to fix that and create a platform that would help dads feel seen, validated, and supported.
By helping dads, we hope to support moms and partners too, because all parents deserve more support.<p>Quick timeline so far:
We started a community of dads on Instagram last Feb to test hypothesis and learn about their needs. We then launched an MVP in April, a super simple app serving weekly coaching guides created with a parenting professional partner.
We made several updates in summer and fall, working like crazy in the background to convince parenting professionals to write coaching guides for us. Especially hard when you&#x27;re a nobody. But people are kind and we found all the support we needed.
We launched a v1 app mid-December with 50 coaching guides and a more full fledge community board (and a paid membership tier).
We&#x27;ve just added on-demand parenting professional support in Jan.
And last week added a picture board for dads to upload pics of their families, and that&#x27;s become more popular than the forums!! ← I knew dads wanted to feel more visible but  I love these discoveries!<p>Super proud of the work done so far, but still so much to do to smooth out the product experience, and get closer to PFM. So much learning.<p>web: <a href=""http:&#x2F;&#x2F;www.dadditude.app"" rel=""nofollow"">http:&#x2F;&#x2F;www.dadditude.app</a>
ios: <a href=""https:&#x2F;&#x2F;apps.apple.com&#x2F;app&#x2F;id1558653576"" rel=""nofollow"">https:&#x2F;&#x2F;apps.apple.com&#x2F;app&#x2F;id1558653576</a>
android: <a href=""https:&#x2F;&#x2F;play.google.com&#x2F;store&#x2F;apps&#x2F;details?id=com.dadditude.app"" rel=""nofollow"">https:&#x2F;&#x2F;play.google.com&#x2F;store&#x2F;apps&#x2F;details?id=com.dadditude....</a><p>(part of the experience is behind a paywall, but you can test nearly all paid features once for free - so long as you register through Apple or Google)<p>All thoughts and feedback welcome in the comments below, especially if you&#x27;re a parent entrepreneur. TYIA<p>[edited top statement to &quot;<i>can be</i> long...&quot; for the dads here who felt it was too gloomy - it was]",1643814567,Show HN: Just Launched an App for Dads,story,
colinchartier,1,30180372,[30180461],7,,1643821593,"Show HN: GreenJS, add performant React pages to an existing site",story,https://greenjs.io/
craftedpixels,5,30169750,"[30177512, 30175781, 30171478, 30170896, 30170684]",49,,1643751501,"Show HN: Free 3D icons, fully customizable online",story,https://vertex.im/
Inufu,1,30179326,[30179430],2,,1643817564,Show HN: AlphaCode Attention Visualization,story,"https://alphacode.deepmind.com/#layer=18,problem=34,heads=11111111111"
mihirpandya,5,30164420,"[30168402, 30175804]",43,"Atlas is an open-source deployment pipeline platform built for cloud-native applications.<p>Atlas allows users to:
- Create continuous pipelines across all their environments and clusters
- Add custom tasks&#x2F;tests plugins (Python scripts, K8S manifests, Argo Workflows, environment setup, etc.)
- Automatically rollback applications in case of failure or degradation (Atlas watches the application past the scope of a pipeline run to ensure and enforce stability)
- Use all existing Argo features<p>Would love to hear all of your feedback and thoughts on this!",1643731759,Show HN: Atlas – A deployment pipeline platform built on Argo CD,story,https://greenops.io/atlas/
jmmv,1,30170526,[30175864],18,,1643754869,Show HN: I've built my own simple website analytics,story,https://jmmv.dev/2022/02/diy-web-analytics.html
adrien2p,0,30175953,,3,Get some cool features with your medusa headless e-commerce,1643798748,Show HN: Medusa-Extender,story,https://github.com/adrien2p/medusa-extender
koahmad,31,30165706,"[30165725, 30167362, 30182791, 30175346, 30168601, 30168740, 30167871, 30169324, 30170092, 30170666, 30168587, 30167357, 30174543, 30178812, 30168310, 30168895, 30168392, 30166869, 30170254]",92,,1643735534,Show HN: OneModel – Diagramming tailor-made for Software Engineers,story,https://www.onemodel.app
